"NMFS_DNA_ID","category","life_stage","collection_location","group_name","pipe_name"
"AM000164","non-reference","non-juvenile","Bycatch","nnByc","nnByc164"
"AM000166","non-reference","non-juvenile","Bycatch","nnByc","nnByc166"
"AM000167","reference","juvenile","Klamath River","rjKla","rjKla167"
"AM000168","reference","juvenile","Klamath River","rjKla","rjKla168"
"AM000169","reference","juvenile","Klamath River","rjKla","rjKla169"
"AM000170","reference","juvenile","Klamath River","rjKla","rjKla170"
"AM000171","non-reference","non-juvenile","Bycatch","nnByc","nnByc171"
"AM000172","non-reference","non-juvenile","Bycatch","nnByc","nnByc172"
"AM000173","non-reference","non-juvenile","Bycatch","nnByc","nnByc173"
"AM000174","non-reference","non-juvenile","Bycatch","nnByc","nnByc174"
"AM000175","reference","juvenile","Sacramento River","rjSac","rjSac175"
"AM000176","reference","juvenile","Sacramento River","rjSac","rjSac176"
"AM000177","reference","juvenile","Sacramento River","rjSac","rjSac177"
"AM000178","reference","juvenile","Sacramento River","rjSac","rjSac178"
"AM000179","reference","juvenile","Sacramento River","rjSac","rjSac179"
"AM000180","reference","juvenile","Sacramento River","rjSac","rjSac180"
"AM000181","reference","juvenile","Sacramento River","rjSac","rjSac181"
"AM000182","reference","juvenile","Sacramento River","rjSac","rjSac182"
"AM000183","reference","juvenile","Sacramento River","rjSac","rjSac183"
"AM000184","reference","juvenile","Sacramento River","rjSac","rjSac184"
"AM000185","reference","juvenile","Sacramento River","rjSac","rjSac185"
"AM000186","reference","juvenile","Sacramento River","rjSac","rjSac186"
"AM000187","reference","juvenile","Sacramento River","rjSac","rjSac187"
"AM000188","reference","juvenile","Sacramento River","rjSac","rjSac188"
"AM000189","reference","juvenile","Sacramento River","rjSac","rjSac189"
"AM000190","reference","juvenile","Sacramento River","rjSac","rjSac190"
"AM000191","reference","juvenile","Sacramento River","rjSac","rjSac191"
"AM000192","reference","juvenile","Sacramento River","rjSac","rjSac192"
"AM000404","non-reference","non-juvenile","Eel River","nnEel","nnEel404"
"AM000405","non-reference","non-juvenile","Eel River","nnEel","nnEel405"
"AM000406","non-reference","non-juvenile","Eel River","nnEel","nnEel406"
"AM000407","reference","non-juvenile","Sacramento River","rnSac","rnSac407"
"AM000409","reference","non-juvenile","Sacramento River","rnSac","rnSac409"
"AM000410","reference","non-juvenile","Sacramento River","rnSac","rnSac410"
"AM000411","reference","non-juvenile","Sacramento River","rnSac","rnSac411"
"AM000412","reference","non-juvenile","Sacramento River","rnSac","rnSac412"
"AM000413","reference","non-juvenile","Sacramento River","rnSac","rnSac413"
"AM000414","reference","non-juvenile","Sacramento River","rnSac","rnSac414"
"AM000415","reference","non-juvenile","Sacramento River","rnSac","rnSac415"
"AM000416","reference","non-juvenile","Sacramento River","rnSac","rnSac416"
"AM000417","reference","non-juvenile","Sacramento River","rnSac","rnSac417"
"AM000418","non-reference","non-juvenile","Bycatch","nnByc","nnByc418"
"AM000419","non-reference","non-juvenile","Bycatch","nnByc","nnByc419"
"AM000420","non-reference","non-juvenile","Bycatch","nnByc","nnByc420"
"AM000421","non-reference","non-juvenile","Bycatch","nnByc","nnByc421"
"AM000422","non-reference","non-juvenile","Bycatch","nnByc","nnByc422"
"AM000423","non-reference","non-juvenile","Bycatch","nnByc","nnByc423"
"AM000424","non-reference","non-juvenile","Bycatch","nnByc","nnByc424"
"AM000425","non-reference","non-juvenile","Bycatch","nnByc","nnByc425"
"AM000426","non-reference","non-juvenile","Bycatch","nnByc","nnByc426"
"AM000427","non-reference","non-juvenile","Bycatch","nnByc","nnByc427"
"AM000428","non-reference","non-juvenile","Bycatch","nnByc","nnByc428"
"AM000429","non-reference","non-juvenile","Bycatch","nnByc","nnByc429"
"AM000430","non-reference","non-juvenile","Bycatch","nnByc","nnByc430"
"AM000431","non-reference","non-juvenile","Bycatch","nnByc","nnByc431"
"AM000432","non-reference","non-juvenile","Bycatch","nnByc","nnByc432"
"AM000433","non-reference","non-juvenile","Bycatch","nnByc","nnByc433"
"AM000434","non-reference","non-juvenile","Bycatch","nnByc","nnByc434"
"AM000435","non-reference","non-juvenile","Bycatch","nnByc","nnByc435"
"AM000436","non-reference","non-juvenile","Bycatch","nnByc","nnByc436"
"AM000437","non-reference","non-juvenile","Bycatch","nnByc","nnByc437"
"AM000438","non-reference","non-juvenile","Bycatch","nnByc","nnByc438"
"AM000439","non-reference","non-juvenile","Bycatch","nnByc","nnByc439"
"AM000440","non-reference","non-juvenile","Bycatch","nnByc","nnByc440"
"AM000441","non-reference","non-juvenile","Bycatch","nnByc","nnByc441"
